index,gm_db,pm_deg,mode_peak_db,stable,mode_ok,settling_time_s,overshoot_deg,peak_torque_nm
-1,7.683470035742842,35.420518908021336,-11.327508950213268,True,True,,,
0,7.370439387286549,35.30910676983342,-7.3878776891231865,True,True,,,
1,7.694970860388062,35.48242821686506,-2.4720484384377497,True,True,,,
2,7.490121177396879,35.224184664110794,-14.194793297248951,True,True,,,
3,7.4548998359047145,35.39589948455006,-8.533950296801933,True,True,,,
4,7.658939538613206,35.3079517577589,-17.218718013021668,True,True,,,
5,7.693428826272694,35.31617588300375,-1.5154824480062,True,True,,,
6,7.373653840641328,35.199291752662276,-6.983293914468158,True,True,,,
7,7.211382826447238,35.28253333540371,-4.161228384543674,True,True,,,
8,6.927390163098208,35.14871336737909,-17.64107555223145,True,True,,,
9,7.520605105282891,35.18478447514187,-11.771219722408883,True,True,,,
10,8.087441343405732,35.45594363635044,-12.780125819203711,True,True,,,
11,7.922998747705105,35.52795336772357,-6.129179173032597,True,True,,,
12,7.612250502322716,35.41377586007064,-13.33848715744467,True,True,,,
13,7.881738553884872,35.39742663584724,-10.822341528812046,True,True,,,
14,7.41465388575322,35.184745913963496,-8.616190760680189,True,True,,,
15,7.76894513197071,35.32105121026217,-9.915925804324221,True,True,,,
16,8.027841235858887,35.493552174995955,-16.30602791905554,True,True,,,
17,7.5977933361593495,35.2277460815026,-16.046711826634475,True,True,,,
18,7.665277763079064,35.24917777434152,-12.149233496067108,True,True,,,
19,7.683338293758246,35.292765127348986,-16.544154660995172,True,True,,,
20,7.359697340415429,35.24315934743731,-15.396307890550766,True,True,,,
21,7.4834102231698605,35.239067661468084,-7.966760977391544,True,True,,,
22,7.667501442584571,35.19981895416069,-14.228495728993595,True,True,,,
23,7.898474285116994,35.42637609270048,-8.466270137979416,True,True,,,
24,8.115154230486999,35.548983410762446,-9.839635019171048,True,True,,,
25,8.123228929376426,35.327379155115494,-12.273077480182122,True,True,,,
26,7.283804855367059,35.29358437627812,-9.083647243164886,True,True,,,
27,7.847271695101664,35.27091592688916,-8.004918814167654,True,True,,,
28,7.305908714164264,35.20217852103258,-12.112879905963958,True,True,,,
29,7.72773822908915,35.295969107002634,-7.842106097556917,True,True,,,
30,7.5540068737608745,35.28840173476402,-8.749924811306123,True,True,,,
31,8.10496905839144,35.32363738762382,-14.254647894984195,True,True,,,
32,7.701197601498297,35.29986745469773,-11.171015372943884,True,True,,,
33,7.889261579892288,35.41483643916146,-17.75059245372727,True,True,,,
34,7.560481683380388,35.24385943953223,-17.365560242832622,True,True,,,
35,7.859116731701926,35.362932294176346,-14.148250482250162,True,True,,,
36,7.888108990361433,35.45781803681106,-8.737244768044384,True,True,,,
37,7.61745670297277,35.319038212686706,-10.794547140898977,True,True,,,
38,7.873571613318411,35.422929409698696,-17.24355498864283,True,True,,,
39,6.933818198369803,35.3440215728248,-9.702230579968287,True,True,,,
40,7.7432237695407915,35.368153264673,-7.805873701517617,True,True,,,
41,7.449764227714164,35.286863029910535,-13.267729054158979,True,True,,,
42,7.941413386838944,35.30097701090986,-14.606260091269512,True,True,,,
43,7.164232794867696,35.26870281951551,-10.790948882394183,True,True,,,
44,7.82517269564522,35.377863946584654,-18.563238981920595,True,True,,,
45,7.370480664621464,35.2174441842366,-12.561797122680229,True,True,,,
46,7.045431493109814,35.2001246144643,-11.235425786059627,True,True,,,
47,7.723346311645524,35.348172479041324,-13.87107413343208,True,True,,,
48,8.063864084934318,35.37627854515324,-11.021697367381915,True,True,,,
49,7.449968390110618,35.320504954969095,-5.237544867909727,True,True,,,
50,7.504327214040551,35.284692657925206,-16.966388178615613,True,True,,,
51,7.910024452763985,35.25365792058798,-9.101234989587475,True,True,,,
52,7.09374374817107,35.39874071260954,-4.201823833038847,True,True,,,
53,7.253076053456136,35.383859984964545,-14.59296251763562,True,True,,,
